F101110	F-10-11-10
F101110	F-10-11-10
F101111	F-10-11-11
F101111	F-10-11-11
F101112	F-10-11-12
F101112	F-10-11-12
F10117	F-10-11-7
F10117	F-10-11-7
F10118	F-10-11-8
F10118	F-10-11-8
F10119	F-10-11-9
F10119	F-10-11-9
F11110	F-1-11-10
F11110	F-1-11-10
F1117	F-1-11-7
F1117	F-1-11-7
F1118	F-1-11-8
F1118	F-1-11-8
F1119	F-1-11-9
F1119	F-1-11-9
F201110	F-20-11-10
F201110	F-20-11-10
F20117	F-20-11-7
F20117	F-20-11-7
F20118	F-20-11-8
F20118	F-20-11-8
F20118	F-20-11-8
F20118	F-20-11-8
F20119	F-20-11-9
F20119	F-20-11-9
F301110	F-30-11-10
F301110	F-30-11-10
F30117	F-30-11-7
F30117	F-30-11-7
F30118	F-30-11-8
F30118	F-30-11-8
F30119	F-30-11-9
F30119	F-30-11-9
M101110	M-10-11-10
M101110	M-10-11-10
M101112	M-10-11-12
M101112	M-10-11-12
M10117	M-10-11-7
M10117	M-10-11-7
M10118	M-10-11-8
M10118	M-10-11-8
M10119	M-10-11-9
M10119	M-10-11-9
M1117	M-1-11-7
M1117	M-1-11-7
M1118	M-1-11-8
M1118	M-1-11-8
M1119	M-1-11-9
M1119	M-1-11-9
M201110	M-20-11-10
M201110	M-20-11-10
M201114	M-20-11-14
M201114	M-20-11-14
M20117	M-20-11-7
M20117	M-20-11-7
M20119	M-20-11-9
M20119	M-20-11-9
M301110	M-30-11-10
M301110	M-30-11-10
M30117	M-30-11-7
M30117	M-30-11-7
M30118	M-30-11-8
M30118	M-30-11-8
M30119	M-30-11-9
M30119	M-30-11-9
